Time (h),U1 (V),U2 (V),U3 (V),U4 (V),U5 (V),Utot (V),J (A/cmｲ),I (A),TinH2 (C),ToutH2 (C),TinAIR (C),ToutAIR (C),TinWAT (C),ToutWAT (C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
7.5,0.669415944,0.665480782,0.661376061,0.662882148,0.658371534,3.319,0.70027,70.027,24.949,37.606,43.068,51.245,53.592,55.153,1299.929,1265.618,1298.076,1285.198,4.795,2.108,23.036,21.259,1.959,52.897
8,0.669301951,0.665352933,0.661074908,0.66266596,0.658115167,3.316,0.70027,70.027,24.934,37.816,43.31,51.196,53.782,55.425,1299.531,1266.187,1298.875,1285.426,4.793,2.107,23.038,21.204,1.997,52.252
8.5,0.669132465,0.665280588,0.660842656,0.662538204,0.657968757,3.312,0.70032,70.032,24.949,37.834,43.172,51.334,53.725,55.428,1296.004,1263.513,1299.274,1286.622,4.793,2.119,23.036,21.266,1.967,52.196
9,0.668917928,0.665244388,0.660700694,0.662489771,0.657917492,3.316,0.70051,70.051,24.966,37.762,43.152,51.228,53.666,55.366,1300.555,1267.439,1299.901,1286.452,4.793,2.103,23.034,21.263,1.97,52.216
9.5,0.668743812,0.665204477,0.660586449,0.662472268,0.657905171,3.318,0.70041,70.041,24.911,37.516,43.159,51.263,53.742,55.454,1300.156,1265.561,1299.388,1285.54,4.795,2.109,23.036,21.327,1.959,51.61
10,0.668707792,0.665129308,0.660428614,0.662425962,0.657885308,3.312,0.70041,70.041,24.92,37.585,43.11,51.287,53.781,55.433,1300.782,1267.155,1295.966,1282.009,4.794,2.106,23.036,21.261,1.998,51.86
10.5,0.66882967,0.665029212,0.660218202,0.662320832,0.657844432,3.314,0.70051,70.051,24.91,37.895,43.142,51.214,53.682,55.343,1299.246,1265.448,1299.559,1286.508,4.796,2.109,23.036,21.331,1.96,52.193
11,0.669022492,0.664953417,0.659994159,0.662168819,0.657784372,3.315,0.70046,70.046,24.94,37.76,43.16,51.262,53.776,55.444,1298.507,1264.366,1298.019,1284.686,4.794,2.11,23.036,21.268,1.955,52.145
11.5,0.669162767,0.664945856,0.659792749,0.662003296,0.657707674,3.314,0.70061,70.061,24.917,37.534,43.131,51.222,53.71,55.41,1303.74,1269.602,1300.529,1287.705,4.795,2.112,23.038,21.329,1.936,52.364
12,0.669187739,0.664997348,0.659630931,0.661845937,0.657621954,3.311,0.70056,70.056,24.951,37.691,43.111,51.154,53.622,55.248,1300.725,1266.301,1298.647,1285.141,4.796,2.108,23.036,21.263,1.914,52.478
12.5,0.669118559,0.66504266,0.65951754,0.661690388,0.657535791,3.316,0.70037,70.037,24.971,37.627,43.108,51.243,53.66,55.46,1302.944,1268.236,1301.726,1287.762,4.784,2.128,23.036,21.329,1.916,51.929
13,0.669006312,0.665010622,0.659454412,0.661519933,0.657444264,3.311,0.70037,70.037,24.946,37.363,43.345,51.241,53.541,55.155,1299.701,1265.732,1298.59,1283.718,4.795,2.118,23.036,21.331,2.036,53.012
13.5,0.668882338,0.664878159,0.659417708,0.661333287,0.657328857,3.312,0.70056,70.056,24.946,37.967,43.319,51.161,53.697,55.385,1299.019,1263.797,1299.445,1285.426,4.795,2.09,23.036,21.266,1.933,52.283
14,0.668758265,0.664680513,0.659346298,0.661146914,0.657175969,3.313,0.70051,70.051,24.956,37.599,43.313,51.315,53.815,55.485,1299.019,1264.822,1300.015,1286.736,4.793,2.11,23.038,21.265,1.963,52.062
14.5,0.668644147,0.664481038,0.659172167,0.660977064,0.656991236,3.309,0.70037,70.037,24.991,37.531,43.373,51.239,53.786,55.457,1301.806,1267.155,1297.848,1284.743,4.795,2.088,23.034,21.263,1.936,52.192
15,0.668547845,0.664326413,0.658878529,0.660824062,0.656794685,3.31,0.70056,70.056,24.978,37.652,43.258,51.33,53.826,55.482,1297.255,1263.513,1300.985,1287.591,4.794,2.107,23.036,21.266,1.987,51.907
15.5,0.668466358,0.664215792,0.658520747,0.660675642,0.656605141,3.307,0.70046,70.046,24.98,38.285,43.299,51.163,53.636,55.245,1299.531,1266.074,1301.099,1288.844,4.792,2.099,23.036,21.263,1.958,52.557
16,0.668394568,0.664112837,0.658183445,0.660529859,0.656430619,3.31,0.70051,70.051,24.956,38.03,43.342,51.221,53.795,55.459,1300.1,1265.163,1298.19,1284.8,4.793,2.109,23.034,21.316,1.94,52.125
16.5,0.668343162,0.663993149,0.657921899,0.660403238,0.656272357,3.305,0.70051,70.051,24.974,37.666,43.333,51.293,53.704,55.398,1300.441,1266.358,1297.677,1283.319,4.811,2.091,23.036,21.331,2.058,52.372
17,0.668331951,0.663865741,0.657735765,0.660296563,0.656130624,3.305,0.70041,70.041,24.952,37.927,43.071,51.368,53.767,55.5,1300.725,1266.756,1301.156,1287.705,4.794,2.108,23.036,21.265,2.029,51.806
17.5,0.668353019,0.663741609,0.657578113,0.660164041,0.656002283,3.306,0.70061,70.061,25.001,37.779,43.204,51.242,53.81,55.445,1298.791,1264.594,1298.989,1284.458,4.793,2.106,23.039,21.259,2.003,52.085
18,0.668348078,0.66360702,0.65739015,0.659945946,0.655879013,3.308,0.70056,70.056,25.04,37.662,43.183,51.301,53.765,55.427,1301.635,1266.756,1299.445,1285.54,4.793,2.107,23.036,21.329,2.132,52.214
18.5,0.668243708,0.663449016,0.657149755,0.659637871,0.655756988,3.306,0.70061,70.061,25.041,37.667,43.206,51.282,53.794,55.447,1298.279,1264.252,1298.19,1285.426,4.795,2.106,23.038,21.265,1.997,52.046
19,0.668018785,0.663288395,0.656897052,0.65930653,0.655643341,3.3,0.70051,70.051,24.982,38.172,43.171,51.249,53.767,55.458,1299.701,1266.415,1296.936,1283.376,4.794,2.099,23.036,21.263,1.974,51.969
19.5,0.667730503,0.663161626,0.656704762,0.659026031,0.655545125,3.303,0.70056,70.056,24.931,37.635,43.264,51.307,53.795,55.462,1302.83,1268.634,1295.681,1282.863,4.793,2.106,23.038,21.428,2.005,52.185
20,0.6674668,0.663077407,0.65661079,0.658816516,0.655455311,3.298,0.70056,70.056,24.908,38.281,43.279,51.354,53.821,55.483,1301.01,1267.724,1295.453,1282.407,4.795,2.124,23.036,21.327,1.99,52.176
20.5,0.667276441,0.66300749,0.656572372,0.658658331,0.655358438,3.304,0.70061,70.061,24.945,37.882,43.131,51.308,53.772,55.419,1300.27,1266.756,1296.594,1283.945,4.813,2.127,23.036,21.329,1.982,52.245
21,0.667148753,0.662919661,0.656489875,0.658543781,0.65524956,3.3,0.70056,70.056,24.94,37.839,43.304,51.304,53.715,55.424,1302.432,1268.122,1305.604,1291.521,4.795,2.09,23.036,21.329,2.021,52.279
21.5,0.667050328,0.662811698,0.656286474,0.658486343,0.655139219,3.299,0.70061,70.061,24.978,37.943,43.272,51.209,53.718,55.374,1300.612,1266.756,1304.578,1290.097,4.795,2.069,23.036,21.323,1.982,52.446
22,0.666963741,0.662715613,0.655973004,0.658486312,0.655035548,3.301,0.70061,70.061,24.942,37.972,43.348,51.294,53.682,55.361,1301.977,1268.122,1303.437,1289.755,4.795,2.089,23.036,21.327,1.956,52.325
22.5,0.66688929,0.662673022,0.655640069,0.65850845,0.654926039,3.296,0.70061,70.061,24.965,38.327,43.414,51.214,53.681,55.375,1300.782,1267.951,1294.426,1280.927,4.795,2.108,23.036,21.181,1.986,52.343
23,0.666821997,0.662697307,0.655387358,0.658496498,0.654784974,3.298,0.70056,70.056,24.956,38.296,43.201,51.218,53.753,55.436,1301.579,1267.212,1297.449,1283.661,4.793,2.109,23.036,21.266,1.937,51.922
23.5,0.666737615,0.662749888,0.655253372,0.658404946,0.654601953,3.3,0.70066,70.066,25.004,37.859,43.269,51.288,53.791,55.461,1301.635,1267.667,1300.015,1287.192,4.799,2.068,23.036,21.331,1.981,52.115
24,0.666606567,0.66275626,0.6551985,0.658223566,0.65440033,3.296,0.70061,70.061,24.989,38.107,43.385,51.306,53.715,55.394,1302.318,1268.634,1302.296,1290.325,4.792,2.126,23.036,21.263,2.074,52.357
24.5,0.666422221,0.662653093,0.655146635,0.657979552,0.654222447,3.298,0.70061,70.061,24.978,37.578,43.373,51.3,53.779,55.441,1298.166,1264.708,1301.669,1288.787,4.795,2.088,23.036,21.327,2.057,52.272
25,0.666216566,0.662429523,0.655049003,0.657722988,0.654096255,3.296,0.70061,70.061,25.003,37.721,43.146,51.282,53.779,55.429,1302.147,1267.951,1301.555,1288.73,4.794,2.15,23.036,21.259,1.984,51.922
25.5,0.666048694,0.662137609,0.654915807,0.65751042,0.654017965,3.294,0.70056,70.056,24.986,37.863,43.272,51.331,53.55,55.419,1301.237,1267.212,1303.266,1289.47,4.795,2.089,23.036,21.268,1.997,52.062
26,0.665969126,0.661867411,0.654789176,0.657385407,0.653964519,3.291,0.70061,70.061,24.962,37.647,43.146,51.31,53.694,55.35,1297.483,1263.854,1301.042,1287.306,4.795,2.063,23.036,21.261,2.019,52.236
26.5,0.665985744,0.661703571,0.654691863,0.657355015,0.653917213,3.294,0.70061,70.061,24.934,38.336,43.247,51.16,53.589,55.203,1302.147,1267.212,1296.194,1283.205,4.794,2.11,23.039,21.329,1.984,52.579
27,0.666066251,0.661689965,0.654610281,0.657384225,0.653871561,3.295,0.70061,70.061,24.888,37.758,43.154,51.168,53.709,55.371,1299.758,1265.789,1296.708,1283.319,4.793,2.11,23.066,21.261,1.994,52.118
27.5,0.666171399,0.661812076,0.654520303,0.657419685,0.653826865,3.29,0.70061,70.061,24.885,38.724,43.166,51.299,53.792,55.469,1299.019,1265.96,1297.335,1286.622,4.792,2.106,23.036,21.325,1.982,52.007
28,0.666270137,0.661999599,0.654415307,0.657417609,0.653776095,3.298,0.70066,70.066,24.865,38.059,43.198,51.329,53.793,55.443,1300.327,1266.017,1295.396,1282.977,4.793,2.11,23.034,21.329,1.95,52.061
28.5,0.666325579,0.662160279,0.654307839,0.657354791,0.653716354,3.292,0.70061,70.061,24.904,38.403,43.315,51.153,53.788,55.432,1300.612,1267.212,1302.353,1290.268,4.795,2.068,23.036,21.329,1.963,52.289
29,0.666299982,0.662235255,0.654210759,0.657235302,0.653666325,3.296,0.70071,70.071,24.963,38.218,43.316,51.265,53.803,55.456,1298.109,1264.48,1303.437,1291.122,4.795,2.09,23.036,21.268,1.959,52.195
29.5,0.666198036,0.662231159,0.654119439,0.65710052,0.653660571,3.293,0.70066,70.066,25.061,38.258,43.405,51.367,53.78,55.439,1299.701,1265.732,1302.353,1288.844,4.793,2.11,23.036,21.39,2.019,52.322
30,0.666089441,0.66219948,0.654015111,0.657015485,0.653719735,3.292,0.70066,70.066,25.061,37.883,43.264,51.313,53.753,55.394,1301.067,1267.212,1300.015,1285.768,4.794,2.09,23.106,21.274,1.988,52.243
30.5,0.666055735,0.662183095,0.653885308,0.657018912,0.653824146,3.29,0.70066,70.066,25.107,37.783,43.068,51.373,53.775,55.434,1301.522,1268.634,1301.042,1287.875,4.793,2.108,23.038,21.331,2.037,51.994
31,0.666107841,0.662177748,0.653734491,0.657084327,0.653915934,3.295,0.70061,70.061,25.134,37.818,43.185,51.37,53.751,55.498,1301.465,1266.643,1298.875,1285.255,4.794,2.089,23.038,21.268,1.996,52.03
31.5,0.666173242,0.662143782,0.653582693,0.657144183,0.653934651,3.295,0.70071,70.071,25.134,37.809,43.321,51.378,53.821,55.474,1301.863,1267.269,1300.129,1287.078,4.814,2.109,23.039,21.331,2.037,52.144
32,0.666166296,0.662056895,0.653467885,0.657153403,0.653862923,3.293,0.70061,70.061,25.102,38.212,43.302,51.398,53.832,55.479,1301.01,1266.813,1301.669,1289.527,4.795,2.092,23.036,21.329,1.985,52.091
32.5,0.666060208,0.661943239,0.653441602,0.657124107,0.653747119,3.292,0.70061,70.061,25.134,38.059,43.134,51.359,53.779,55.441,1299.986,1265.789,1298.932,1285.654,4.795,2.108,23.036,21.263,1.958,51.78
33,0.665899497,0.661857091,0.653545674,0.657111768,0.653679522,3.29,0.70076,70.076,25.147,38.43,43.152,51.366,53.815,55.418,1299.417,1264.822,1299.901,1287.648,4.792,2.089,23.036,21.327,1.989,52.006
33.5,0.665762397,0.661826683,0.653802275,0.657194547,0.653758262,3.291,0.70061,70.061,25.092,38.092,43.165,51.342,53.814,55.453,1300.953,1266.756,1300.015,1287.762,4.795,2.107,23.038,21.329,1.936,52.051
34,0.665717333,0.661834433,0.654240473,0.657470545,0.654054667,3.293,0.70061,70.061,25.063,37.902,43.273,51.323,53.795,55.487,1301.351,1266.927,1298.761,1285.483,4.794,2.089,23.11,21.265,1.959,52.046
34.5,0.665800541,0.661854311,0.654907888,0.658034901,0.654596587,3.292,0.70071,70.071,25.055,38.318,43.342,51.314,53.775,55.38,1295.89,1263.057,1300.357,1288.616,4.793,2.108,23.036,21.295,2.057,52.164
35,0.666011704,0.661896985,0.655812014,0.658903267,0.655348771,3.293,0.70066,70.066,25.044,38.098,43.172,51.386,53.761,55.411,1300.156,1266.13,1300.015,1286.565,4.796,2.109,23.032,21.259,2.061,52.019
35.5,0.666312104,0.661999636,0.656843221,0.65993513,0.656189558,3.303,0.70056,70.056,24.142,37.949,43.229,50.736,53.166,54.834,1301.635,1267.269,1298.818,1285.939,4.794,2.091,23.036,21.331,1.941,53.447
36,0.666624737,0.662163284,0.657790879,0.660858503,0.656931541,3.308,0.70041,70.041,24.53,38.002,43.143,51.268,53.714,55.432,1300.839,1266.415,1298.932,1286.395,4.796,2.15,23.034,21.325,2.013,52.128
36.5,0.666847854,0.662309666,0.658459452,0.661412639,0.657406011,3.31,0.70056,70.056,24.714,37.726,43.324,51.163,53.633,55.351,1299.815,1264.594,1299.331,1285.312,4.793,2.129,23.036,21.257,2.08,52.427
37,0.666889387,0.662319156,0.658771736,0.661500412,0.657550819,3.313,0.70046,70.046,24.748,37.83,43.249,51.292,53.686,55.442,1300.157,1266.301,1301.897,1288.16,4.793,2.129,23.036,21.331,2.005,52.267
37.5,0.666714252,0.66212657,0.658776083,0.661230841,0.65742971,3.307,0.70051,70.051,24.764,37.994,43.351,51.337,53.798,55.465,1296.8,1263.968,1298.818,1285.711,4.793,2.128,23.034,21.259,2.065,51.979
38,0.666375585,0.661785921,0.658580317,0.660825574,0.657177086,3.304,0.70056,70.056,24.743,37.724,43.276,51.262,53.779,55.462,1300.043,1266.415,1301.27,1288.844,4.795,2.128,23.032,21.261,2.023,52.148
38.5,0.665992754,0.661440527,0.658285626,0.660470281,0.656920255,3.301,0.70056,70.056,24.735,37.763,43.166,51.155,53.741,55.402,1299.303,1265.561,1299.217,1285.483,4.8,2.13,23.034,21.255,2.075,52.014
39,0.665680697,0.661221799,0.657965432,0.660229474,0.656732759,3.3,0.70056,70.056,24.709,37.803,43.448,51.304,53.736,55.4,1297.995,1265.049,1300.3,1287.591,4.793,2.129,23.034,21.265,2.016,52.399
39.5,0.665490827,0.661168145,0.657670879,0.660075048,0.656629127,3.302,0.70051,70.051,24.714,37.703,43.37,51.359,53.776,55.438,1299.246,1266.415,1299.274,1285.369,4.801,2.128,23.036,21.325,2.004,52.153
40,0.665414174,0.661225865,0.657419359,0.659963634,0.656578514,3.298,0.70051,70.051,24.676,37.728,43.363,51.156,53.55,55.15,1299.36,1265.448,1300.757,1288.73,4.791,2.128,23.034,21.255,1.959,52.9
40.5,0.66542088,0.661307166,0.657180882,0.659871931,0.656524433,3.302,0.70051,70.051,24.651,37.884,43.318,51.298,53.736,55.424,1302.773,1269.26,1297.848,1285.255,4.793,2.128,23.036,21.257,1.959,52.003
41,0.665482047,0.661343877,0.656907568,0.659782223,0.656413408,3.301,0.70061,70.061,24.607,37.858,43.119,51.243,53.758,55.402,1301.863,1267.496,1299.388,1285.426,4.794,2.128,23.034,21.28,1.998,52.363
41.5,0.665563605,0.661307769,0.656587184,0.659671544,0.656223499,3.3,0.70056,70.056,24.618,37.978,43.37,51.268,53.758,55.441,1298.734,1264.309,1300.015,1287.021,4.796,2.127,23.038,21.265,1.99,52.194
42,0.665617619,0.66120423,0.656256273,0.659519587,0.655970788,3.297,0.70051,70.051,24.553,37.844,43.348,51.303,53.764,55.423,1299.588,1267.325,1300.985,1287.875,4.795,2.128,23.034,21.325,1.989,52.245
42.5,0.665591593,0.661053945,0.655966792,0.659313914,0.655693776,3.3,0.70056,70.056,24.558,37.922,43.244,51.224,53.738,55.444,1297.142,1263.342,1298.989,1286.508,4.812,2.127,23.036,21.257,1.959,52.089
43,0.665459674,0.660879079,0.655753498,0.659053336,0.655436459,3.296,0.70061,70.061,24.622,37.662,43.18,51.271,53.733,55.394,1299.474,1266.643,1301.156,1288.445,4.793,2.128,23.036,21.327,1.978,52.13
43.5,0.665252346,0.660705562,0.655619953,0.658759204,0.655235207,3.295,0.70061,70.061,24.663,37.714,43.238,51.29,53.81,55.466,1297.938,1264.025,1299.958,1286.964,4.794,2.128,23.036,21.196,1.982,52.122
44,0.665050407,0.66057071,0.655535049,0.658478152,0.655105455,3.294,0.70061,70.061,24.639,37.845,43.367,51.31,53.777,55.451,1300.27,1266.529,1300.414,1288.445,4.794,2.129,23.036,21.331,1.944,52.235
44.5,0.664939961,0.6605124,0.655453542,0.658260121,0.655036767,3.293,0.70061,70.061,24.631,37.775,43.385,51.339,53.827,55.479,1298.507,1264.992,1298.818,1285.085,4.793,2.126,23.034,21.257,1.96,52.062
45,0.664965113,0.660545912,0.655354532,0.658128825,0.655002719,3.294,0.70056,70.056,24.641,38.127,43.29,51.365,53.802,55.467,1300.213,1267.439,1302.353,1289.983,4.793,2.13,23.036,21.331,1.961,51.866
45.5,0.66511365,0.660653885,0.655249934,0.658070905,0.65497522,3.293,0.70061,70.061,24.637,37.755,43.23,51.289,53.771,55.45,1300.384,1267.212,1299.388,1286.452,4.792,2.13,23.036,21.329,1.967,52.046
46,0.665332784,0.660792265,0.655152142,0.658044108,0.654932957,3.294,0.70056,70.056,24.688,38.105,43.131,51.289,53.691,55.412,1298.905,1265.618,1301.384,1289.186,4.796,2.129,23.034,21.265,1.938,52.281
46.5,0.665550344,0.660905049,0.65504935,0.657995391,0.65486716,3.296,0.70056,70.056,24.66,38.084,43.336,51.295,53.753,55.436,1298.109,1264.48,1297.05,1284.002,4.795,2.126,23.032,21.259,1.962,52.228
47,0.66569062,0.660946983,0.654910948,0.657884844,0.654783336,3.296,0.70056,70.056,24.616,37.967,43.23,51.215,53.721,55.394,1298.166,1265.163,1300.586,1287.648,4.794,2.126,23.036,21.261,1.943,52.055
47.5,0.665690785,0.660899901,0.654703122,0.657700461,0.654688958,3.292,0.70056,70.056,24.628,37.746,43.178,51.215,53.759,55.462,1300.27,1266.244,1300.072,1286.622,4.794,2.128,23.036,21.261,1.945,51.832
48,0.665524181,0.660766572,0.65441292,0.65745121,0.654574957,3.295,0.70056,70.056,24.68,37.818,43.403,51.251,53.741,55.43,1301.977,1267.667,1298.818,1285.198,4.793,2.113,23.036,21.331,1.952,52.277
48.5,0.665226773,0.660565035,0.654079966,0.657166467,0.654422687,3.295,0.70061,70.061,24.813,38.928,43.386,51.09,53.782,55.503,1299.815,1265.277,1302.125,1288.901,4.793,2.127,23.036,21.323,2.021,51.765
49,0.664902758,0.66034047,0.653791915,0.65692006,0.654241075,3.286,0.70051,70.051,24.91,37.894,43.206,51.178,53.463,55.074,1298.791,1265.675,1300.015,1287.819,4.795,2.129,23.036,21.329,2.046,52.945
49.5,0.664678223,0.660157865,0.653628102,0.656817127,0.654083739,3.287,0.70051,70.051,25.033,38.319,43.212,51.309,53.758,55.447,1299.133,1266.074,1299.559,1287.477,4.785,2.126,23.034,21.327,2.055,52.006
50,0.664622187,0.660060911,0.65360761,0.656905151,0.65400709,3.287,0.70046,70.046,25.121,38.328,43.25,51.315,53.23,55.225,1300.384,1267.325,1300.357,1287.989,4.793,2.11,23.038,21.329,2.051,52.603
50.5,0.664702977,0.660045397,0.653680768,0.657106883,0.654008395,3.289,0.70061,70.061,24.98,38.066,43.318,51.268,53.806,55.486,1298.109,1264.082,1295.396,1282.009,4.793,2.149,23.108,21.242,2.048,51.99
51,0.664816488,0.660075603,0.653757988,0.657278764,0.654020276,3.294,0.70061,70.061,24.832,37.908,43.244,51.115,53.786,55.478,1300.953,1266.7,1298.647,1285.483,4.796,2.126,23.036,21.331,2.053,51.843
51.5,0.664854008,0.660113193,0.653766702,0.657333727,0.653974909,3.29,0.70066,70.066,24.735,38.031,43.357,51.207,53.781,55.422,1300.839,1266.927,1298.076,1285.426,4.814,2.128,23.038,21.325,2.037,52.358
52,0.664761739,0.660131733,0.653700718,0.657288095,0.653861815,3.292,0.70061,70.061,24.712,38.218,43.415,51.253,53.765,55.456,1297.142,1264.594,1299.445,1286.907,4.8,2.126,23.036,21.261,2.037,52.257
52.5,0.664565016,0.660114318,0.653606203,0.65720683,0.653716021,3.285,0.70066,70.066,24.749,38.004,43.237,51.136,53.644,55.336,1299.417,1265.618,1297.221,1284.344,4.794,2.128,23.034,21.331,2.039,52.267
53,0.664342865,0.660043772,0.653519521,0.657141251,0.653570506,3.292,0.70056,70.056,24.76,38.054,43.249,51.236,53.809,55.465,1297.426,1263.74,1298.818,1285.882,4.796,2.128,23.036,21.257,2.015,51.891
53.5,0.664169209,0.659906562,0.653436643,0.65711481,0.653440727,3.287,0.70061,70.061,24.696,37.815,43.24,51.298,53.748,55.445,1300.839,1267.895,1296.594,1283.262,4.795,2.128,23.036,21.261,2.033,51.881
54,0.664071454,0.659718721,0.65333738,0.65712448,0.653340706,3.286,0.70061,70.061,24.689,37.989,43.408,51.168,53.642,55.345,1300.27,1267.61,1300.357,1286.565,4.794,2.128,23.036,21.327,2.059,52.573
54.5,0.66403576,0.65953848,0.653219424,0.657139118,0.653283147,3.289,0.70061,70.061,24.663,38.054,43.281,51.23,53.763,55.448,1298.109,1264.765,1298.818,1284.629,4.793,2.128,23.036,21.266,2.042,51.967
55,0.664031216,0.659429986,0.653110491,0.657117655,0.653259094,3.286,0.70061,70.061,24.654,38.069,43.169,51.254,53.78,55.433,1300.498,1267.269,1299.331,1285.825,4.794,2.13,23.039,21.257,2.019,52.167
55.5,0.664018755,0.659405031,0.653048982,0.657034561,0.653230047,3.285,0.70061,70.061,24.67,37.653,43.154,51.195,53.786,55.465,1299.645,1266.074,1299.844,1286.565,4.793,2.129,23.036,21.329,2.094,51.888
56,0.663952379,0.659407072,0.653038671,0.656878796,0.653145113,3.288,0.70061,70.061,24.667,38.077,43.344,51.167,53.679,55.394,1301.124,1267.325,1297.734,1285.198,4.793,2.128,23.036,21.261,2.04,52.274
56.5,0.663801361,0.6593603,0.653027896,0.656642026,0.652973129,3.289,0.70061,70.061,24.686,37.886,43.345,51.235,53.779,55.488,1301.749,1267.781,1299.901,1287.648,4.796,2.129,23.036,21.327,2.035,52.265
57,0.663584559,0.659234546,0.652952379,0.656331442,0.652729925,3.285,0.70061,70.061,24.59,37.825,43.334,51.163,53.74,55.416,1298.45,1264.878,1298.875,1285.939,4.793,2.128,23.036,21.255,2.027,52.343
57.5,0.663369625,0.659062611,0.652792085,0.655989254,0.652475197,3.282,0.70061,70.061,24.829,38.527,43.29,51.319,53.778,55.436,1301.522,1268.236,1300.015,1287.875,4.793,2.127,23.036,21.325,2.087,52.178
58,0.663222215,0.658904673,0.652576165,0.655681842,0.652276305,3.282,0.70061,70.061,25.041,37.883,43.275,51.295,53.824,55.471,1299.189,1265.391,1299.787,1286.736,4.815,2.11,23.036,21.259,2.011,52.25
58.5,0.663152919,0.658799586,0.652351468,0.65546507,0.652167563,3.281,0.70061,70.061,25.02,37.964,43.379,51.322,53.804,55.477,1298.791,1265.049,1299.958,1286.565,4.793,2.106,23.036,21.255,2.046,52.161
59,0.663113292,0.658738253,0.652163064,0.655353979,0.652132035,3.281,0.70061,70.061,25.015,38.127,43.377,51.116,53.723,55.405,1299.531,1266.074,1297.335,1283.888,4.793,2.128,23.034,21.327,2.08,52.161
