Time (h),U1 (V),U2 (V),U3 (V),U4 (V),U5 (V),Utot (V),J (A/cmｲ),I (A),TinH2 (C),ToutH2 (C),TinAIR (C),ToutAIR (C),TinWAT (C),ToutWAT (C),PinAIR (mbara),PoutAIR (mbara),PoutH2 (mbara),PinH2 (mbara),DinH2 (l/mn),DoutH2 (l/mn),DinAIR (l/mn),DoutAIR (l/mn),DWAT (l/mn),HrAIRFC (%)
45.5,0.673888889,0.668470017,0.667410167,0.667845013,0.665792801,3.34,0.70154,70.154,27.601,42.495,42.474,51.704,53.8,55.44,1299.417,1267.212,1304.635,1291.863,4.799,2.156,23.036,21.401,1.986,50.342
46,0.674025133,0.668389519,0.667427408,0.667944562,0.665902366,3.345,0.70154,70.154,27.618,41.486,42.379,51.711,53.842,55.485,1299.133,1265.618,1297.677,1285.369,4.796,2.071,23.038,21.409,2.019,50.091
46.5,0.674275663,0.668443463,0.667526469,0.66816482,0.666124105,3.342,0.70149,70.149,27.622,41.481,42.289,51.609,53.764,55.434,1297.426,1264.878,1297.563,1284.8,4.816,2.04,23.036,21.331,2.034,49.875
47,0.674632695,0.66871294,0.66774166,0.668516204,0.666497914,3.344,0.70159,70.159,27.564,41.435,42.279,51.693,53.8,55.464,1298.848,1266.87,1301.384,1289.243,4.8,2.155,23.036,21.373,1.968,49.822
47.5,0.675089001,0.669188684,0.668088144,0.669006099,0.667036169,3.346,0.70164,70.164,27.524,40.989,42.229,51.55,53.708,55.369,1299.872,1268.35,1305.376,1292.489,4.8,2.094,23.036,21.403,2.079,50.302
48,0.675629897,0.669770444,0.66855444,0.669626706,0.667694212,3.352,0.70154,70.154,27.555,41.293,42.284,51.558,53.734,55.412,1298.848,1265.846,1301.612,1288.844,4.798,2.072,23.038,21.333,2.033,50.187
48.5,0.676208865,0.670330652,0.669106313,0.670330501,0.668373294,3.354,0.70237,70.237,27.578,39.549,42.2,51.621,51.714,55.287,1298.621,1267.269,1304.578,1291.863,4.797,2.113,23.036,21.424,2.046,50.058
49,0.676743703,0.670786033,0.669683891,0.671027585,0.668969054,3.359,0.70188,70.188,27.712,41.416,42.322,51.594,53.817,55.493,1301.863,1268.464,1295.51,1282.635,4.8,2.133,23.039,21.407,1.974,49.822
49.5,0.677146842,0.671118922,0.670201841,0.671619784,0.669418969,3.362,0.70217,70.217,27.68,41.329,42.284,51.553,53.767,55.472,1298.336,1265.334,1296.708,1284.23,4.799,2.113,23.038,21.331,1.978,49.867
50,0.677367639,0.671348253,0.670579938,0.672037795,0.669711674,3.363,0.70222,70.222,27.569,41.235,42.389,51.592,53.829,55.476,1299.36,1266.7,1295.624,1283.091,4.796,2.073,23.034,21.475,2.011,49.739
50.5,0.677409833,0.671487655,0.670780819,0.672247649,0.669868791,3.362,0.70212,70.212,27.488,41.164,42.38,51.617,53.815,55.479,1299.417,1266.358,1294.94,1282.635,4.797,2.137,23.039,21.403,2.005,49.838
51,0.677310043,0.671524287,0.670810467,0.672244302,0.669921598,3.364,0.70222,70.222,27.43,40.961,42.351,51.525,53.836,55.461,1301.692,1268.065,1299.958,1287.534,4.799,2.137,23.036,21.466,2.004,49.803
51.5,0.677108356,0.671436906,0.670694461,0.672058023,0.669893841,3.362,0.70222,70.222,27.393,41.105,42.34,51.532,53.784,55.439,1299.588,1266.13,1297.734,1285.369,4.798,2.114,23.039,21.331,2.005,49.807
52,0.676849006,0.671246415,0.670474655,0.671756979,0.669802266,3.362,0.70237,70.237,27.356,41.314,42.289,51.623,53.855,55.468,1300.839,1267.667,1301.099,1290.04,4.797,2.136,23.036,21.403,2.005,49.807
52.5,0.676599828,0.671039282,0.67022124,0.671424842,0.669673128,3.358,0.70237,70.237,27.327,41.014,42.322,51.506,53.791,55.443,1298.166,1266.017,1298.875,1286.167,4.796,2.135,23.036,21.397,2.001,49.937
53,0.676442743,0.670913405,0.670014981,0.671129799,0.669549959,3.354,0.70232,70.232,27.28,40.733,42.397,51.579,53.814,55.442,1299.815,1267.553,1298.989,1286.338,4.803,2.134,23.036,21.399,2.005,50.114
53.5,0.676416892,0.670893892,0.669895072,0.670908771,0.66947137,3.357,0.70222,70.222,27.251,41.058,42.146,51.532,53.822,55.466,1301.067,1268.634,1301.042,1288.844,4.775,2.133,23.038,21.399,2.003,49.473
54,0.676470994,0.670919204,0.669830774,0.670766355,0.669440156,3.359,0.70227,70.227,27.223,40.888,42.282,51.473,53.755,55.416,1302.773,1269.716,1300.3,1289.186,4.797,2.13,23.038,21.399,2.008,49.748
54.5,0.676491255,0.670905339,0.669750593,0.670677797,0.669418144,3.357,0.70237,70.237,27.24,40.902,42.299,51.591,53.813,55.474,1299.929,1267.325,1299.502,1286.565,4.798,2.135,23.036,21.329,2.003,49.891
55,0.676382448,0.670798199,0.66958908,0.670595609,0.669342846,3.36,0.70222,70.222,27.254,40.798,42.302,51.656,53.858,55.483,1298.678,1266.87,1300.015,1286.85,4.796,2.136,23.036,21.396,2.012,49.681
55.5,0.676111858,0.6705623,0.669297094,0.670453472,0.669137191,3.354,0.70212,70.212,27.396,41.02,42.198,51.619,53.812,55.435,1298.166,1266.301,1300.3,1288.388,4.798,2.114,23.036,21.399,2.03,49.757
56,0.675674531,0.670141593,0.66881979,0.67015508,0.668708222,3.358,0.70193,70.193,27.463,40.86,42.29,51.602,53.848,55.462,1299.076,1266.756,1298.875,1285.483,4.793,2.136,23.038,21.397,2.042,49.918
56.5,0.675038828,0.669454252,0.668093876,0.669575934,0.667964011,3.351,0.70217,70.217,27.506,40.663,42.392,51.608,53.846,55.456,1297.654,1266.415,1301.669,1289.698,4.797,2.133,23.038,21.399,2.034,49.849
57,0.674162291,0.668451054,0.667096766,0.668630148,0.666873883,3.355,0.70227,70.227,27.54,40.936,42.344,51.542,53.765,55.369,1301.237,1267.895,1299.559,1287.021,4.8,2.134,23.036,21.401,2.062,50.405
57.5,0.673081576,0.667200851,0.665911168,0.66737823,0.665542233,3.342,0.70212,70.212,27.586,40.86,42.333,51.617,53.84,55.462,1298.905,1267.098,1297.506,1284.287,4.799,2.113,23.036,21.405,2.035,49.715
58,0.671962751,0.665908303,0.664721888,0.66605444,0.664205209,3.323,0.70227,70.227,27.558,40.764,42.143,51.513,53.798,55.4,1302.034,1270.569,1296.822,1284.116,4.798,2.135,23.036,21.331,2.044,49.838
58.5,0.671021468,0.664816299,0.663722995,0.664945953,0.663108625,3.323,0.70237,70.237,27.508,40.627,42.244,51.501,53.774,55.411,1299.645,1267.098,1300.015,1287.705,4.797,2.137,23.036,21.399,2.051,49.905
59,0.67039045,0.66407845,0.663028231,0.664229019,0.662375217,3.321,0.70232,70.232,27.463,40.607,42.134,51.573,53.878,55.492,1301.806,1269.203,1298.989,1286.565,4.797,2.114,23.036,21.399,1.975,49.722
